Seed,Team
1,Gonzaga
16,Georgia_St
8,Boise_St
9,Memphis
5,Connecticut
12,New_Mexico_St
4,Arkansas
13,Vermont
6,Alabama
11,Rutgers
11,Notre_Dame
3,Texas_Tech
14,Montana_St
7,Michigan_St
10,Davidson
2,Duke
15,CS_Fullerton
1,Baylor
16,Norfolk_St
8,North_Carolina
9,Marquette
5,St_Mary's_CA
12,Wyoming
12,Indiana
4,UCLA
13,Akron
6,Texas
11,Virginia_Tech
3,Purdue
14,Yale
7,Murray_St
10,San_Francisco
2,Kentucky
15,St_Peter's
1,Arizona
16,Wright_St
16,Bryant
8,Seton_Hall
9,TCU
5,Houston
12,UAB
4,Illinois
13,Chattanooga
6,Colorado_St
11,Michigan
3,Tennessee
14,Longwood
7,Ohio_St
10,Loyola-Chicago
2,Villanova
15,Delaware
1,Kansas
16,Texas_So
16,Texas_AM_CC
8,San_Diego_St
9,Creighton
5,Iowa
12,Richmond
4,Providence
13,S_Dakota_St
6,LSU
11,Iowa_St
3,Wisconsin
14,Colgate
7,USC
10,Miami_FL
2,Auburn
15,Jacksonville_St
